City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mantua,IT,78.01,clear sky,45.17,10.78,Hotel la Favorita
5,Kaifeng,CN,82.4,few clouds,34.79,114.35,Pullman Kaifeng Jianye
6,Bethel,US,84.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
13,Kutum,SD,78.76,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
22,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
25,Atuona,PF,79.66,clear sky,-9.8,-139.03,Villa Enata
30,Banda Aceh,ID,81.23,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
35,Pangoa,PE,84.83,broken clouds,-12.12,-73.0,
37,San Ramon,US,79.0,clear sky,37.78,-121.98,San Ramon Marriott
40,Abadiania,BR,81.48,clear sky,-16.2,-48.71,Pousada Lírio D'Água
44,Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
48,Komsomolskiy,UZ,78.8,scattered clouds,40.43,71.72,Ikathouse
55,Albany,US,82.0,clear sky,42.6,-73.97,
56,Puerto Ayora,EC,80.6,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
59,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
61,Nikolskoye,RU,77.0,clear sky,59.7,30.79,Tourist House - Sablino
63,Faanui,PF,78.46,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Hithadhoo,MV,84.58,broken clouds,-0.6,73.08,Scoop Guest House
65,Otradnoye,RU,77.0,clear sky,59.78,30.82,Baza otdikha Petrushinsky Khutor
72,Kapaa,US,75.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
73,Acapulco,MX,77.0,light rain,16.86,-99.89,HS Hotsson Smart Acapulco
74,Saint Anthony,US,82.99,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
80,Sao Filipe,CV,77.34,clear sky,14.9,-24.5,Tortuga B&B
81,Akyab,MM,83.48,overcast clouds,20.15,92.9,Hotel Memory
95,Broome,US,80.01,broken clouds,42.25,-75.83,Chenango Valley State Park
98,Terekli-Mekteb,RU,80.4,broken clouds,44.17,45.87,"Gostevoy Dvor ""U Gul'zary"""
102,Merauke,ID,77.86,overcast clouds,-8.47,140.33,
108,Marawi,PH,75.99,overcast clouds,8.0,124.29,Derogongan Residence
117,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
122,Sur,OM,84.27,broken clouds,22.57,59.53,Sur Plaza Hotel
123,Susanville,US,81.0,clear sky,40.42,-120.65,Red Lion Inn & Suites Susanville
125,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
132,Boqueirao,BR,79.83,broken clouds,-7.5,-36.13,Hotel Chique Chique
140,Harper,LR,77.29,broken clouds,4.38,-7.72,Screensaver
141,Arraial Do Cabo,BR,82.4,broken clouds,-22.97,-42.03,Pousada Porto Praia
147,Hobyo,SO,79.45,few clouds,5.35,48.53,Osmani Hotel
150,Boden,SE,75.2,scattered clouds,65.83,21.69,Quality Hotel Bodensia
151,Tual,ID,80.38,overcast clouds,-5.67,132.75,Grand Vilia Hotel
157,Torbay,CA,78.01,broken clouds,47.67,-52.73,Gallows Cove
158,Creel,MX,78.33,few clouds,27.75,-107.63,The Lodge at Creel Hotel & SPA
168,Bud,US,82.0,broken clouds,39.45,-86.18,Madsion Scouts Camp
171,Werder,DE,81.0,scattered clouds,52.38,12.93,Landhotel Potsdam
182,Faya,SA,77.0,clear sky,18.39,42.45,مقبرة ال مجمل
184,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
189,Auki,SB,78.03,overcast clouds,-8.77,160.7,Auki Motel
192,Coahuayana,MX,75.2,broken clouds,18.73,-103.68,Hotel Los Arcos
196,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
200,Dingle,PH,78.19,overcast clouds,11.0,122.67,Camp Pasica
203,Hamilton,US,84.0,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
205,Birjand,IR,80.6,clear sky,32.87,59.22,Birjand Tourist Hotel
207,Thinadhoo,MV,83.68,overcast clouds,0.53,72.93,
209,Saint-Gaudens,FR,79.0,broken clouds,43.08,0.67,L'Ardiégeoise
211,Kisangani,CD,75.36,overcast clouds,0.52,25.2,Grand Ramela Hotel
213,Nhulunbuy,AU,77.0,broken clouds,-12.23,136.77,East Arnhem Real Estate
214,Wenling,CN,79.0,overcast clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
216,Naze,JP,80.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
217,Newport,GB,82.4,broken clouds,51.59,-3.0,ibis budget Newport
218,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
222,Hambantota,LK,80.67,overcast clouds,6.12,81.12,Bungalow 63
223,Manono,CD,79.9,scattered clouds,-7.3,27.42,Hotel hewa bora
226,Monte Carmelo,BR,77.11,clear sky,-18.72,-47.5,Park hotel
232,Matara,LK,78.98,overcast clouds,5.95,80.54,Amaloh Boutique Resort
233,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
236,Bay Roberts,CA,79.0,scattered clouds,47.6,-53.26,Stonewall Inn
238,Vrsac,RS,78.8,clear sky,45.12,21.3,"Hotel Srbija, Vršac"
239,Palma Di Montechiaro,IT,80.01,clear sky,37.19,13.77,B&B Manca Residence
240,Sao Joao Da Barra,BR,82.4,few clouds,-21.64,-41.05,Pousada Porto De Canoas
243,Nouakchott,MR,84.2,dust,18.09,-15.98,Hôtel Iman
252,Rock Sound,BS,82.99,scattered clouds,24.9,-76.2,Rock Sound Club
254,Meulaboh,ID,77.05,overcast clouds,4.14,96.13,Kost Pria
255,Derveni,GR,80.01,few clouds,38.13,22.42,Vicky's Rooms Derveni
258,Bani Walid,LY,79.65,clear sky,31.76,13.99,منزل الصابر أبوفانة
263,Biak,ID,76.39,overcast clouds,-0.91,122.88,Kost Ariz
268,Riverton,US,84.0,clear sky,40.52,-111.94,Ramada by Wyndham Draper
269,Butaritari,KI,82.58,scattered clouds,3.07,172.79,Isles Sunset Lodge
276,Laguna,US,82.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
284,Kamariotissa,GR,78.8,thunderstorm,40.48,25.47,Niki Beach
287,Korla,CN,77.0,overcast clouds,41.76,86.15,Gulisitan Hotel
290,Eyl,SO,81.36,scattered clouds,7.98,49.82,Amiin Hotel
293,Nantucket,US,78.01,clear sky,41.28,-70.1,Jared Coffin House
299,Taitung,TW,83.37,overcast clouds,22.76,121.14,Taitung Bali Suites Hotel
303,Honiara,SB,77.45,broken clouds,-9.43,159.95,Heritage Park Hotel
304,Doctor Arroyo,MX,76.1,overcast clouds,23.67,-100.18,Hotel Plaza
317,Imbituba,BR,80.6,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
318,Dicabisagan,PH,79.36,overcast clouds,17.08,122.42,
323,Nouadhibou,MR,75.2,sand,20.93,-17.03,El Medina
325,Panzhihua,CN,77.16,overcast clouds,26.59,101.71,Electric Power Hotel
330,Pilar,BR,82.4,broken clouds,-9.6,-35.96,Pousada Manguaba
331,Abu Samrah,SY,77.52,clear sky,35.3,37.18,
347,Yilan,TW,84.2,overcast clouds,24.76,121.75,Dar Chen Hotel
348,Sibolga,ID,76.24,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
351,Bontang,ID,77.22,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
353,Sibu,MY,77.0,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
355,Montecchio Maggiore,IT,77.0,scattered clouds,45.5,11.41,Hotel Castelli
359,Nikki,BJ,84.24,overcast clouds,9.94,3.21,Hotel John
361,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
364,Wanning,CN,82.83,overcast clouds,18.8,110.4,Paradise Hotel
367,Waingapu,ID,75.38,scattered clouds,-9.66,120.26,Pondok Wisata Elim
368,Halifax,CA,82.0,broken clouds,44.65,-63.57,Hotel Halifax
371,Santa Cruz De La Palma,ES,75.2,few clouds,28.68,-17.76,H10 Taburiente Playa
374,Aquiraz,BR,82.4,broken clouds,-3.9,-38.39,Pousada Rua Camurupim
375,Zhanaozen,KZ,82.17,broken clouds,43.3,52.8,K.korabay 28A
377,Praya,CV,84.2,clear sky,14.92,-23.51,LT Aparthotel
379,Santa Isabel,BR,84.2,overcast clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
380,Fougamou,GA,79.21,overcast clouds,-1.22,10.58,Résidence d'Hôtes Bapedy
382,Maceio,BR,82.4,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
383,Marsh Harbour,BS,83.86,clear sky,26.54,-77.06,Abaco Beach Resort
384,Salalah,OM,84.2,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
398,Puerto Narino,CO,84.2,scattered clouds,-3.77,-70.38,Eware Refugio Amazonico
400,Ocsa,HU,79.0,broken clouds,47.3,19.23,Greksa László
403,Praia,CV,84.2,clear sky,14.92,-23.51,LT Aparthotel
406,Parker,US,84.99,clear sky,32.77,-97.8,Candlewood Suites Weatherford
411,Lusambo,CD,82.67,broken clouds,-4.97,23.45,
413,Spijkenisse,NL,84.99,clear sky,51.84,4.33,Carlton Oasis
414,Mumford,GH,77.76,scattered clouds,5.26,-0.76,Spanish Villa
416,Millinocket,US,78.8,few clouds,45.66,-68.71,Katahdin Inn & Suites
421,Madawaska,US,75.99,broken clouds,47.36,-68.33,Best Western Plus Edmundston Hotel
422,Westport,US,84.99,clear sky,41.14,-73.36,The Westport Inn
427,Suez,EG,75.33,clear sky,29.97,32.53,Green House
431,Jian,CN,75.29,overcast clouds,27.12,114.98,Luling International Hotel
433,Canguaretama,BR,80.94,broken clouds,-6.38,-35.13,Pousada do Italiano
434,Linqiong,CN,84.99,thunderstorm,30.42,103.46,Tianlun Tanxianglou Hotel
439,Vila Velha,BR,82.4,few clouds,-20.33,-40.29,Hotel Vitória Palace
452,Labuan,MY,77.0,broken clouds,5.28,115.24,Tiara Labuan Hotel
457,Bairiki,KI,82.4,few clouds,1.33,172.98,Tarawa Boutique Hotel
458,Touros,BR,82.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
465,Avera,US,82.99,broken clouds,33.19,-82.53,
470,Dryden,CA,77.0,clear sky,49.78,-92.75,Holiday Inn Express Dryden
471,Dinghai,CN,84.2,broken clouds,26.28,119.79,
475,Gat,IL,79.0,clear sky,31.61,34.76,רגע בנחת
482,Luzhou,CN,77.79,clear sky,28.87,105.44,Shijichun Hotel
487,Kavieng,PG,83.35,scattered clouds,-2.57,150.8,Nusa Island Retreat
490,Savannah Bight,HN,82.78,broken clouds,16.45,-85.85,Villa on Dunbar Rock
496,Becsehely,HU,75.2,broken clouds,46.45,16.78,M7 Galéria Panzió
501,Ingham,US,75.2,scattered clouds,42.6,-84.38,Sunset Place
503,Ternate,ID,80.44,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
506,Ayios Mamas,GR,80.6,few clouds,40.27,23.33,Platanos Apartment
508,Cedar City,US,80.6,clear sky,37.68,-113.06,Hampton Inn Cedar City
509,Osypenko,UA,78.01,few clouds,46.91,36.83,
514,Kieta,PG,79.45,overcast clouds,-6.22,155.63,
517,Garden City,US,80.6,broken clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
519,Nagato,JP,75.2,shower rain,34.38,131.2,いそう庵
525,Bandarbeyla,SO,81.03,broken clouds,9.49,50.81,REER XOOSHLE GROUP
527,Tambun,ID,81.0,haze,-6.26,107.07,@HOM Premiere Tambun
528,Lingao,CN,83.59,overcast clouds,19.91,109.69,Lingao Ditai Inn
536,Spencer,US,82.4,clear sky,43.14,-95.14,Days Inn by Wyndham Hotel Spencer IA
542,Port-Gentil,GA,75.2,few clouds,-0.72,8.78,Fengshui Residence
552,Mogadishu,SO,79.21,scattered clouds,2.04,45.34,Hotel Juba
554,Kisujszallas,HU,81.0,broken clouds,47.22,20.77,Hotel Kumánia
556,Pyay,MM,81.48,overcast clouds,18.82,95.22,Shwe Pyi Thar
557,Missoula,US,75.0,clear sky,47.02,-113.8,Gold Creek Cabin
564,Pagudpud,PH,81.37,overcast clouds,18.56,120.79,Saud Beach Resort and Hotel - 2
567,San Joaquin,VE,83.79,few clouds,10.26,-67.79,"Rancho (Hacienda) ""La Quinta"""
